Tarih,PTF,SMF,PDF,NDF

0,100.01,0.00,0.00,103.01

1,204.45,108.40,105.15,210.58

2,227.00,30.00,29.10,233.81

3,150.00,0.00,0.00,154.50

4,169.99,30.00,29.10,175.09

5,49.99,0.00,0.00,51.49

6,100.00,0.00,0.00,103.00

7,204.45,29.90,29.00,210.58

8,299.99,250.00,242.50,308.99

9,301.92,189.00,183.33,310.98

10,302.50,24.00,23.28,311.57

11,303.47,29.90,29.00,312.57

12,299.99,5.00,4.85,308.99

13,302.64,5.00,4.85,311.72

14,306.06,5.00,4.85,315.24

15,306.69,10.00,9.70,315.89

16,307.01,29.90,29.00,316.22

17,305.97,50.00,48.50,315.15

18,302.86,184.00,178.48,311.95

19,301.00,179.00,173.63,310.03

20,302.90,200.00,194.00,311.99

21,304.01,200.00,194.00,313.13

22,303.26,200.00,194.00,312.36

23,300.01,189.00,183.33,309.01

